path,name,sampling_rate,label
/My data/95.10.15/code 1/,baseline,2000,Normal
/My data/95.10.15/code 2/,ch44,1000,Normal
/My data/95.10.15/code 3/,Control Day30,2000,Arrhythmic
/My data/95.10.15/code 4/,baseline,2000,Arrhythmic
/My data/95.10.15/code 5/,baseline 1,2000,Normal
/My data/95.10.15/code 6/,baseline,2000,Normal
/My data/95.10.15/code 8/,baseline0001,2000,Arrhythmic
/My data/95.10.15/code 9/,baseline,2000,Arrhythmic
/My data/95.10.15/code 10/,Nr1 ctr,2000,Normal
/My data/95.10.15/code 11/,Nr1 Ctr,2000,Normal
/My data/95.10.15/code 12/,72,1000,Arrhythmic
